"Metadata_PlateID_Nuclei","Metadata_WellID_Nuclei","Children_Cells_Count_Nuclei","Metadata_Image_Metadata_Compound","Metadata_Image_Metadata_Concentration","probPos","probNeg"
"Week10_40111","B02",1442,"DMSO",0.0,0.0,1.0
"Week10_40111","B03",479,"Cdk1/2 inhibitor (NU6102)",10.0,0.0020876826722338203,0.9979123173277662
"Week10_40111","B04",743,"Cdk1/2 inhibitor (NU6102)",3.0,0.0,1.0
"Week10_40111","B05",888,"Cdk1/2 inhibitor (NU6102)",1.0,0.0,1.0
"Week10_40111","B06",951,"Cdk1/2 inhibitor (NU6102)",0.3,0.0,1.0
"Week10_40111","B07",1131,"Cdk1/2 inhibitor (NU6102)",0.1,0.0,1.0
"Week10_40111","B08",1223,"Cdk1/2 inhibitor (NU6102)",0.03,0.0,1.0
"Week10_40111","B09",1303,"Cdk1/2 inhibitor (NU6102)",0.01,7.668711656441718E-4,0.9992331288343558
"Week10_40111","B10",1035,"Cdk1/2 inhibitor (NU6102)",0.003,0.0,1.0
"Week10_40111","B11",312,"taxol",0.3,0.9711538461538461,0.028846153846153855
"Week10_40111","C02",1485,"DMSO",0.0,0.0,1.0
"Week10_40111","C03",1,"AZ138",30.0,1.0,0.0
"Week10_40111","C04",55,"AZ138",10.0,0.8727272727272727,0.12727272727272732
"Week10_40111","C05",420,"AZ138",3.0,0.4928571428571429,0.5071428571428571
"Week10_40111","C06",344,"AZ138",1.0,0.37790697674418605,0.622093023255814
"Week10_40111","C07",462,"AZ138",0.3,0.22943722943722944,0.7705627705627706
"Week10_40111","C08",342,"AZ138",0.1,0.42105263157894735,0.5789473684210527
"Week10_40111","C09",462,"AZ138",0.03,0.18614718614718614,0.8138528138528138
"Week10_40111","C10",438,"AZ138",0.01,0.09817351598173515,0.9018264840182648
"Week10_40111","C11",358,"taxol",0.3,0.9385474860335196,0.06145251396648044
"Week10_40111","D02",947,"DMSO",0.0,0.0,1.0
"Week10_40111","D03",158,"AZ-U",30.0,0.6455696202531646,0.35443037974683544
"Week10_40111","D04",562,"AZ-U",10.0,0.046263345195729534,0.9537366548042705
"Week10_40111","D05",764,"AZ-U",3.0,0.006544502617801047,0.993455497382199
"Week10_40111","D06",975,"AZ-U",1.0,0.0010256410256410256,0.9989743589743589
"Week10_40111","D07",972,"AZ-U",0.3,0.0,1.0
"Week10_40111","D08",1710,"AZ-U",0.1,0.0,1.0
"Week10_40111","D09",1288,"AZ-U",0.03,0.0,1.0
"Week10_40111","D10",1184,"AZ-U",0.01,0.0,1.0
"Week10_40111","D11",266,"taxol",0.3,0.9398496240601504,0.06015037593984962
"Week10_40111","E02",325,"taxol",0.3,0.9353846153846154,0.06461538461538463
"Week10_40111","E03",939,"temozolomide",20.0,0.0010649627263045794,0.9989350372736954
"Week10_40111","E04",955,"temozolomide",6.0,0.0,1.0
