Well_ID,Compound,Condition,Lactoferrin_Concentration,Lactoferrin_Units ,Remdesivir_Concentration,Remdesivir_Units,Infected_Cell_Count,Total_Cell_Count,Raw_Percent_Infected,Percent_Viability 
A01,NC,NC,0,M,0,M,213,7568,2.81448203,88.44221106
A02,NC,NC,0,M,0,M,1377,6450,21.34883721,75.37688442
A03,Remdesivir/Lactoferrin,Treatment,0.0000023,M,0.00000003,M,311,8198,3.793608197,95.80460442
A04,Remdesivir/Lactoferrin,Treatment,0.0000023,M,0.000000015,M,52,5361,0.969968289,62.65046161
A05,Remdesivir/Lactoferrin,Treatment,0.0000023,M,7.5E-09,M,223,9650,2.310880829,112.7731682
A06,Remdesivir/Lactoferrin,Treatment,0.0000023,M,3.75E-09,M,369,7559,4.881598095,88.33703401
A07,Remdesivir/Lactoferrin,Treatment,0.0000023,M,1.88E-09,M,144,7403,1.945157369,86.51396517
A08,Remdesivir/Lactoferrin,Treatment,0.0000023,M,9.38E-10,M,522,5984,8.723262032,69.9310506
A09,Remdesivir/Lactoferrin,Treatment,0.0000023,M,4.69E-10,M,203,5315,3.819379116,62.11289003
A10,Remdesivir/Lactoferrin,Treatment,0.0000023,M,2.34E-10,M,255,7292,3.496982995,85.21678158
A11,Remdesivir/Lactoferrin,Treatment,0.0000023,M,0.00000003,M,500,6448,7.754342432,75.35351174
A12,Remdesivir/Lactoferrin,Treatment,0.0000023,M,0.000000015,M,319,8930,3.572228443,104.3590043
A13,Remdesivir/Lactoferrin,Treatment,0.0000023,M,7.5E-09,M,192,7899,2.430687429,92.31038916
A14,Remdesivir/Lactoferrin,Treatment,0.0000023,M,3.75E-09,M,486,6869,7.075265686,80.27346032
A15,Remdesivir/Lactoferrin,Treatment,0.0000023,M,1.88E-09,M,370,7447,4.968443669,87.02816408
A16,Remdesivir/Lactoferrin,Treatment,0.0000023,M,9.38E-10,M,306,6756,4.529307282,78.95290406
A17,Remdesivir/Lactoferrin,Treatment,0.0000023,M,4.69E-10,M,258,7724,3.340238219,90.26527989
A18,Remdesivir/Lactoferrin,Treatment,0.0000023,M,2.34E-10,M,423,6783,6.236178682,79.2684352
A19,Lactoferrin,Treatment,0.0000046,M,0,M,130,7861,1.653733622,91.86630829
A20,Lactoferrin,Treatment,0.0000046,M,0,M,120,5024,2.388535032,58.71216548
A21,Remdesivir,Treatment,0,M,0.00000003,M,749,6100,12.27868852,71.28666589
A22,Remdesivir,Treatment,0,M,0.00000003,M,328,6081,5.393849696,71.06462545
A23,PC,PC,0,M,0,M,548,7767,7.055491181,90.76779245
A24,PC,PC,0,M,0,M,456,5278,8.639636226,61.6804955
