Well_ID,Plate ID,Condition,Lactoferrin_Concentration,Lactoferrin_Units,Hydroxychloroquine_Concentration,Hydroxychloroquine_Units,Transferrin_Concentration,Transferrin_Units,Store_Bought_Lactoferrin_Concentration,Store_Bought_Lactoferrin_Units,Infected_Cell_Count,Total_Cell_Count,Raw_Percent_Infected,Percent_Viability
A01,SARS_2021A,NC,0,M,0,M,0,ug/mL,0,ug/mL,1175,11441,10.27008129,108.2607873
A02,SARS_2021A,NC,0,M,0,M,0,ug/mL,0,ug/mL,1460,12090,12.07609595,114.4019682
A03,SARS_2021A,Treatment,0.000002298,M,0.00000998,M,0,ug/mL,0,ug/mL,155,10683,1.450903304,101.0881908
A04,SARS_2021A,Treatment,0.000002298,M,0.000005,M,0,ug/mL,0,ug/mL,310,9710,3.192584964,91.88115064
A05,SARS_2021A,Treatment,0.000002298,M,0.0000025,M,0,ug/mL,0,ug/mL,376,6189,6.075294878,58.56358819
A06,SARS_2021A,Treatment,0.000002298,M,0.00000125,M,0,ug/mL,0,ug/mL,776,8275,9.377643505,78.30242241
A07,SARS_2021A,Treatment,0.000002298,M,0.00000063,M,0,ug/mL,0,ug/mL,281,8052,3.489816195,76.19227858
A08,SARS_2021A,Treatment,0.000002298,M,3.11E-07,M,0,ug/mL,0,ug/mL,1148,10323,11.12079822,97.68168055
A09,SARS_2021A,Treatment,0.000002298,M,1.56E-07,M,0,ug/mL,0,ug/mL,919,9707,9.467394664,91.85276306
A10,SARS_2021A,Treatment,0.000002298,M,7.98E-08,M,0,ug/mL,0,ug/mL,558,11153,5.003138169,105.5355791
A11,SARS_2021A,Treatment,0.000002298,M,0.00000998,M,0,ug/mL,0,ug/mL,364,8596,4.234527687,81.33989402
A12,SARS_2021A,Treatment,0.000002298,M,0.000005,M,0,ug/mL,0,ug/mL,172,9391,1.831540837,88.86260409
A13,SARS_2021A,Treatment,0.000002298,M,0.0000025,M,0,ug/mL,0,ug/mL,737,8400,8.773809524,79.48523846
A14,SARS_2021A,Treatment,0.000002298,M,0.00000125,M,0,ug/mL,0,ug/mL,27,6270,0.43062201,59.33005299
A15,SARS_2021A,Treatment,0.000002298,M,0.00000063,M,0,ug/mL,0,ug/mL,319,8751,3.64529768,82.80658592
A16,SARS_2021A,Treatment,0.000002298,M,3.11E-07,M,0,ug/mL,0,ug/mL,463,10552,4.387793783,99.84859955
A17,SARS_2021A,Treatment,0.000002298,M,1.56E-07,M,0,ug/mL,0,ug/mL,672,8116,8.279940858,76.79788039
A18,SARS_2021A,Treatment,0.000002298,M,7.98E-08,M,0,ug/mL,0,ug/mL,572,9045,6.323935876,85.58856927
A19,SARS_2021A,Treatment,0.000002298,M,0,M,0,ug/mL,0,ug/mL,261,9694,2.692387044,91.72975019
A20,SARS_2021A,Treatment,0.000002298,M,0,M,0,ug/mL,0,ug/mL,712,9548,7.45705907,90.34822104
A21,SARS_2021A,Treatment,0,M,0.00000998,M,0,ug/mL,0,ug/mL,594,8073,7.357859532,76.39099167
A22,SARS_2021A,Treatment,0,M,0.00000998,M,0,ug/mL,0,ug/mL,863,11729,7.357831017,110.9859955
